cuisine,recepies,ingredients
South Indian Recipes,Cauliflower Coconut Milk Stew Recipe,"['cauliflower', ' garlic', ' bay leaf', ' cardamom', ' black peppercorns', ' red chilli powder', ' turmeric powder', ' tomato puree', ' coconut milk', ' salt', ' coriander', ' sunflower oil']"
Indian,Moong Dal Methi Ki Sabzi (Recipe in Hindi),"['green moong dal', ' fenugreek', ' tomatoes', ' onion', ' green chillies', ' cumin seeds', ' ginger', ' cumin seeds', ' turmeric powder', ' coriander powder', ' cumin powder', ' asafoetida', ' oil', ' water']"
North Indian Recipes,Spicy Soya Bhurji Recipe - North Indian Soya Matar Bhurji,"['soybeans whole soya', ' green peas matar steamed', ' onion', ' tomato', ' green chillies', ' garlic', ' ginger roughly', ' coriander powder', ' red chilli powder', ' turmeric powder', ' chana masala powder', ' garam masala powder', ' coriander dhania leaves', ' sunflower oil', ' salt']"
South Indian Recipes,Sprouted Kollu Sambar Recipe - Horse Gram Sambar With Vegetables,"[' carrot', ' gourd', ' tomato', ' onions onions', ' tamarind water', ' sambar powder', ' turmeric powder', ' salt', ' oil', ' mustard seeds', ' red chillies', ' asafoetida hing', ' curry leaves']"
Indian,Sukha Bhel Recipe With Boiled Peanuts - Peanut Bhel Chaat,"['raw peanuts', ' potatoes aloo', ' rice', ' onion', ' tomato', ' coriander', ' lemon juice', ' chilli', ' mustard oil', ' red chilli powder', ' chaat masala', ' black salt kala namak']"
Indian,Warm Red Lentil Salad With Goat Cheese Recipe,"['dried', ' onion', ' tomatoes', ' spinach', ' goat cheese', ' bay leaf', ' extra virgin olive oil', ' vinegar', ' kasundi mustard sauce', ' garlic roughly', ' black pepper powder', ' salt']"
South Indian Recipes,Milagu Keerai Poricha Kootu Recipe - Palak And Moong Dal Kootu,"['red leaves', ' yellow moong', ' turmeric powder', ' salt', ' cumin jeera seeds', ' black peppercorns', ' coconut', ' coconut oil', ' mustard seeds', ' cumin jeera seeds', ' white urad', ' curry leaves']"
Indian,Garlic Methi Raita Recipe,"['leaves fenugreek leaves', ' curd dahi yogurt', ' sunflower oil', ' garlic', ' salt', ' cumin powder', ' chaat masala powder', ' black salt kala namak', ' water', ' chaat masala powder', ' black salt kala namak', ' water', ' sunflower oil', ' garlic', ' red chilli powder']"
North Indian Recipes,"Beetroot, Carrot and Cucumber Salad Recipe - Beetroot, Carrot & Cucumber Salad with Peanuts Recipe","['tighten', ' carrots', ' cucumber', ' tbsp peanuts', ' green chilli chop', ' coriander chop', ' lemon juice', ' black pepper powder', ' chaat masala', ' salt']"
North Indian Recipes,Pineapple Paneer Darts Recipe,"['paneer cottage cheese', ' pineapple', ' red bell pepper', ' sunflower oil', ' curd yogurt', ' flour', ' garlic', ' ginger paste', ' fenugreek leaves', ' fennel seeds saunf roasted', ' carom seeds', ' cumin powder', ' coriander powder', ' black pepper powder', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' black salt kala', ' salt']"
Continental,Kale and Mushroom French Soup Recipe - Kale and Mushroom French Soup Recipe,"['kale', ' mushrooms', ' onion', ' garlic', ' capsicum red chopped', ' vegetable stock chicken', ' capsicum pili', ' tbsp', ' tsp cream', ' salt', ' black pepper powder', ' butter']"
Indian,Sabudana Tikki Recipe ( Spiced Tapioca Pearls Patties Recipe),"['tapioca pearls', ' aloo boiled mashed', ' green chilli', ' roasted peanuts', ' raisins', ' badam almond', ' cumin powder', ' dry mango powder', ' salt', ' peanut oil']"
North Indian Recipes,Mushroom Tikka Masala Dry Recipe,"['mushrooms', ' green bell pepper capsicum', ' onion', ' dahi', ' flour', ' ginger garlic paste', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' turmeric powder', ' chaat masala powder', ' lemon juice', ' sunflower oil', ' salt', ' leaves']"
Indian,Honey Glazed Corn Fritters Recipe,"['sweet corn', ' aloo mashed', ' green chillies', ' ginger', ' salt', ' all purpose flour', ' wheat bread crumbs', ' sunflower oil', ' ginger', ' sweet corn', ' tomato pasta sauce', ' green chilli sauce', ' soy sauce', ' honey adjust', ' spring onion bulb greens']"
Indian,Karela Tikki Recipe - Healthy Diabetic Snack,"['gourd', ' carrot', ' paneer cottage cheese', ' oats flour', ' green chillies', ' red chilli powder', ' turmeric powder haldi', ' chaat masala', ' coriander dhania', ' salt', ' sunflower oil', ' sunflower oil']"
North Indian Recipes,Aloo Patta Gobhi Sabzi Recipe - Potato Leaf Cabbage Vegetable Recipe,"['potatoes', ' onion', ' cabbage', ' turmeric powder', ' red chilli powder', ' coriander powder', ' cinnamon', ' bay leaf', ' fennel', ' cumin', ' salt', ' oil', ' coriander leaves']"
North Indian Recipes,Aam Ka Panna Recipe With Jaggery,"['mango raw', ' jaggery sugar', ' cumin powder', ' black salt kala namak', ' black pepper powder', ' mint leaves', ' water chilled', ' ice cubes']"
Continental,Cheesy Corn On The Cob Recipe,"['sweet corn', ' butter', ' ginger', ' lemon juice', ' lemon zest', ' parmesan cheese', ' sunflower oil', ' coriander dhania']"
South Indian Recipes,Quinoa Rice Pudding With Turmeric Recipe,"['basmati rice', ' quinoa', ' coconut milk', ' sugar', ' turmeric powder', ' cardamom', ' mixed nuts', ' honey or maple']"
South Indian Recipes,Ragi Kanji Recipe - Salt Version,"['water', ' ragi flour finger millet', ' cumin seeds', ' carom seeds', ' asafoetida hing', ' salt', ' curd dahi yogurt', ' cumin powder']"
North Indian Recipes,Achari Baingan Bharta Recipe,"['brinjal', ' tomatoes', ' onion', ' garlic cloves', ' green chillies', ' ginger', ' turmeric powder', ' coriander', ' coriander powder', ' red chilli powder', ' mango pickle', ' achari masala', ' sunflower oil', ' salt', ' mustard seeds', ' cumin seeds', ' fennel seeds', ' kalonji onion nigella seeds', ' seeds fenugreek seeds', ' carom seeds', ' red chillies', ' dry mango powder']"
Indian,Makhana Pakora Recipe - Puffed Lotus Seed Pakoras Recipe,"[' flour', ' onion', ' green chili', ' cumin seeds', ' red chilli powder', ' turmeric powder', ' coriander', ' curry leaves', ' oil']"
South Indian Recipes,Pattani Sundal Recipe - Green Peas Sundal Recipe,"['green peas', ' mustard seeds', ' white urad', ' asafoetida', ' red chillies', ' ginger', ' green chillies', ' coconut', ' curry leaves', ' sunflower oil', ' salt']"
South Indian Recipes,Carrot and Capsicum Mix Dal Recipe,"['arhar dal split', ' carrot', ' yellow and green bell', ' tomato', ' ginger', ' turmeric powder', ' tamarind water', ' salt', ' mustard seeds', ' cumin seeds', ' asafoetida', ' curry leaves', ' tomato', ' green chilli']"
South Indian Recipes,Instant Dosa Mix Powder Recipe,"['rice flour', ' semolina', ' poha flattened rice', ' white urad', ' black', ' arhar dal', ' chana dal', ' seeds fenugreek seeds']"
Continental,Pearl Barley Vegetable Soup Recipe,"['barley seeds soaked', ' extra virgin olive oil', ' onion', ' garlic', ' celery', ' carrot', ' aloo', ' button', ' bay leaf', ' vegetable stock', ' parsley leaves', ' black peppercorns', ' salt', ' red chilli powder']"
South Indian Recipes,Tomato Rasam Recipe (Tomato Rasam),"['tur dal', ' turmeric powder', ' tamarind paste', ' tomatoes', ' garlic', ' cumin powder roasted', ' coriander powder roasted', ' pepper powder', ' red chili powder', ' salt', ' curry leaves', ' spoon rye', ' cumin powder', ' ghee', ' green coriander']"
Italian Recipes,Roasted Garlic Pineapple Paneer Pizza Recipe,"['wheat flour', ' all purpose flour', ' dry yeast', ' salt', ' sugar', ' extra virgin olive oil', ' water lukewarm', ' pineapple', ' cottage cheese', ' red bell pepper', ' onion', ' herbs dried', ' britannia cheese garlic', ' britannia', ' pasta sauce', ' broccoli', ' black olives', ' pickled jalapenos']"
Indian,Mixed Vegetable Paratha Recipe,"['wheat flour', ' water', ' sunflower oil', ' salt', ' aloo mashed', ' carrot', ' onion', ' cauliflower gobi', ' green peas matar', ' green chillies', ' coriander', ' coriander powder', ' red chilli powder', ' garam masala powder', ' salt', ' ghee']"
Continental,Jello Poke Cake Recipe,"['vivatta maida', ' baking powder', ' butter unsalted', ' sugar', ' eggs', ' milk', ' salt', ' bourbon vanilla', ' water', ' sugar powdered', ' milk', ' butter unsalted', ' bourbon vanilla', ' walnuts', ' pecans']"
South Indian Recipes,Uggani Recipe - Puffed Rice Upma,"['rice', ' roasted', ' onion', ' tomato', ' green chillies', ' coriander dhania', ' lemon', ' turmeric powder', ' salt', ' mustard seeds', ' white urad', ' urad', ' raw peanuts', ' curry leaves']"
Continental,Chewy Strawberry Muesli Oats Cookie Recipe,"['wheat flour', ' cinnamon powder', ' oats oatmeal', ' muesli', ' strawberries', ' vanilla extract', ' jaggery', ' extra virgin olive oil', ' milk', ' egg']"
South Indian Recipes,Sweet and Sour Mangalore Cucumber Chutney Recipe,"['mangalorean cucumber', ' turmeric powder', ' red chilli powder', ' tamarind water', ' jaggery', ' salt', ' mustard seeds', ' white urad', ' curry leaves', ' asafoetida', ' sunflower oil']"
Italian Recipes,Alfredo Spaghetti Pasta Recipe in Broccoli & Olives,"['del', ' broccoli', ' black olives', ' garlic', ' milk', ' cream', ' cheese spread', ' salt', ' black pepper powder', ' sunflower oil']"
Continental,Eggless Paneer Mc Puff Recipe -Mc Donald's Style,"['all purpose flour', ' ghee', ' salt', ' water', ' cottage cheese', ' green bell pepper capsicum', ' red bell pepper', ' garlic', ' green chilli sauce', ' tomato pasta sauce', ' soy sauce', ' black pepper powder', ' salt', ' butter', ' sugar']"
South Indian Recipes,Paneer Bake Pit Paniyaram Recipe,"['idli dosa', ' onions onions', ' coriander', ' homemade cottage cheese', ' onion', ' tomato', ' ginger', ' cumin seeds', ' green chillies', ' red chilli powder', ' turmeric powder haldi', ' sunflower oil', ' salt']"
Continental,Grilled Sub Sandwich Recipe With Paneer & Roasted Vegetables,"['baguette', ' paneer cottage cheese', ' red bell pepper capsicum', ' zucchini', ' garlic', ' red chilli flakes', ' oregano', ' thyme leaves', ' rosemary dried', ' lemon', ' extra virgin olive oil', ' salt and pepper', ' mustard sauce', ' iceberg lettuce roughly', ' butter', ' cheese']"
Continental,Eggless Oreo Cake Recipe With Buttercream Frosting,"['oreo biscuits', ' milk', ' enos fruit salt', ' sugar', ' butter', ' vanilla extract', ' milk', ' icing sugar', ' badam almond', ' oreo biscuits']"
South Indian Recipes,Paplet Hooman Recipe - Goan Pomfret Curry,"['pomfret fish', ' onion', ' coconut oil', ' salt', ' coconut', ' red chillies preferably', ' turmeric powder', ' coriander dhania seeds', ' black peppercorns', ' tamarind lemon size']"
Continental,Red Smoothie Bowl Recipe,"['bananas', ' mango', ' cucumber', ' spinach', ' broccoli', ' strawberries', ' beetroot', ' celery stick', ' flax seed flax', ' lemon juiced', ' coconut water', ' ice', ' coconut cream', ' mint leaves', ' kiwi']"
North Indian Recipes,Traditional Whole Gobi Musallam Recipe,"['cauliflower gobi', ' cashew nuts', ' onion', ' tomatoes', ' garlic', ' ginger', ' cumin powder', ' coriander powder', ' red chilli powder', ' garam masala powder', ' fenugreek leaves', ' turmeric powder', ' coriander dhania', ' water', ' salt']"
South Indian Recipes,Broccoli Keema and Utapam Recipe,"['broccoli', ' onion', ' garlic', ' chilli', ' coriander powder', ' red chilli powder', ' sunflower oil', ' salt', ' idli dosa', ' mozzarella cheese', ' sunflower oil']"
North Indian Recipes,Dhingri Matar Recipe (Mushrooms and Peas Spicy Curry),"['button', ' green peas matar steamed', ' soy', ' tomato puree', ' turmeric powder', ' garam masala powder', ' red chilli powder', ' garlic', ' ginger', ' poppy seeds', ' cashew nuts', ' sunflower oil', ' salt', ' coriander']"
Continental,Walnut Cranberry No Bake Cheesecake Recipe With Strawberries,"['britannia cheese', ' curd greek yogurt', ' cream', ' icing sugar', ' vanilla extract', ' walnuts', ' cranberries', ' coconut roasted', ' strawberries']"
South Indian Recipes,Kongunad Chicken Fry Recipe,"['cinnamon stick', ' black pepper powder', ' coriander dhania seeds', ' fennel seeds', ' poppy seeds', ' red chilli powder', ' dry coconut', ' chicken breasts', ' sunflower oil', ' onion', ' turmeric powder', ' salt', ' leaves', ' coriander', ' water']"
Continental,Lemon Grilled Chicken Recipe,"['chicken breasts', ' lemon juice', ' oregano', ' thyme leaves', ' black pepper powder', ' salt', ' extra virgin olive oil', ' potatoes', ' milk', ' butter', ' garlic', ' salt and pepper', ' broccoli', ' red bell pepper capsicum', ' beetroot', ' oregano', ' salt and pepper']"
Indian,Stove Top Green Peas Seekh Kebab Recipe,"['green peas', ' potatoes aloo', ' flour', ' onion', ' ginger garlic paste', ' green chilli paste', ' garam masala powder', ' cumin powder', ' mint leaves', ' coriander dhania', ' lemon juice', ' salt', ' sunflower oil']"
Continental,Whole Wheat and Jowar (Pearl Millet) Orange Cake With Orange Glaze Recipe,"['whole wheat flour', ' jowar flour sorghum', ' baking powder', ' eggs', ' brown sugar demerara sugar', ' orange zest rind', ' butter melted', ' milk', ' brown sugar demerara sugar', ' orange juice', ' rum']"
Continental,Jalapeno Cilantro Lime Rice Recipe,"['rice', ' onion', ' garlic', ' ginger', ' coriander', ' thyme leaves', ' oregano', ' red chilli flakes', ' pickled jalapenos', ' salt', ' lemon juice lemon']"
Continental,Pina Colada Cake Recipe,"['vivatta maida', ' milk', ' sunflower oil', ' butter unsalted', ' sugar', ' baking powder', ' baking soda', ' dry coconut', ' rum coconut rum', ' pineapple', ' butter unsalted', ' sugar', ' coconut milk']"
North Indian Recipes,One Pot Punjabi Rajma Masala Recipe - One Pot Punjabi Rajma Masala Recipe,"['kidney beans', ' ginger', ' garlic', ' onion', ' tomato puree', ' turmeric powder', ' cumin powder bake', ' garam masala powder', ' cardamom', ' cinnamon', ' tbsp butter', ' coriander leaves', ' oil', ' salt']"
South Indian Recipes,Sundakkai And Methi Leaves Sambar Recipe,"['turkey berries', ' leaves fenugreek leaves', ' arhar dal', ' tomato', ' tamarind lemon', ' turmeric powder', ' sambar powder', ' coriander powder', ' mustard seeds', ' cumin seeds', ' red chilli', ' asafoetida hing', ' sunflower oil', ' salt', ' curry leaves', ' coriander', ' water']"
Indian,Nigella Seed Beetroot Rice Recipe,"['basmati rice cooked', ' beetroot', ' kalonji onion nigella seeds', ' turmeric powder', ' black pepper powder', ' green chilli', ' sunflower oil', ' water', ' salt', ' coriander dhania']"
Continental,Stuffed Bun With Veggies Recipe,"['all purpose flour', ' milk', ' water', ' dry yeast', ' sugar', ' salt', ' extra virgin olive oil', ' black sesame seeds', ' sesame seeds til seeds', ' cabbage patta', ' aloo boiled mashed', ' carrot', ' beans french beans', ' onion', ' seeds', ' garam masala powder', ' cheese', ' red chilli powder', ' turmeric powder haldi', ' coriander', ' lemon juice', ' sunflower oil', ' salt']"
North Indian Recipes,Hara Chana Masala Recipe,"['green', ' onion', ' tomato', ' lentil sugar', ' coriander powder', ' red chili powder', ' garam masala powder', ' ghee', ' coriander', ' salt', ' ginger', ' garlic', ' green chili', ' coriander', ' lentil sugar']"
South Indian Recipes,Mambazha Mor Kuzhambu Recipe - Ripe Mango Mor Kuzhambu,"['mango', ' turmeric powder haldi', ' coconut', ' cumin seeds', ' green chilli', ' curd dahi yogurt', ' salt', ' coconut oil', ' mustard seeds', ' seeds fenugreek seeds', ' curry leaves']"
North Indian Recipes,Lu methi paratha recipe,"['wheat flour', ' water', ' sunflower oil', ' wheat flour', ' salt', ' aloo mashed', ' onion', ' leaves fenugreek leaves', ' green chillies', ' coriander', ' coriander powder', ' red chilli powder', ' garam masala powder', ' chaat masala powder', ' salt', ' ghee']"
Continental,Chicken Sandwich With Sweet Corn Recipe,"['chicken', ' sweet corn', ' mayonnaise with', ' salt', ' tomato ketchup', ' black peppercorns', ' dog bread', ' lettuce', ' tomato', ' onion']"
South Indian Recipes,Mini Bajra Uttapam Recipe,"['bajra seeds', ' idli rice', ' white urad', ' seeds fenugreek seeds', ' salt', ' onion', ' green bell pepper capsicum', ' chilli', ' salt', ' mint leaves', ' cumin powder', ' ghee']"
North Indian Recipes,Healthy Veg Lollipop Recipe With Palak & Rajma,"['rajma large kidney beans', ' spinach leaves palak', ' oats', ' red chilli powder', ' garam masala powder', ' cumin powder', ' dry mango powder', ' salt', ' sunflower oil', ' flour', ' water', ' turmeric powder haldi', ' salt', ' oats']"
Indian,Quick Beetroot Pulao Recipe,"['beetroot', ' rice cooked', ' chilli', ' extra virgin olive oil', ' cumin seeds', ' black pepper powder', ' coriander powder', ' lemon juice', ' coriander', ' salt']"
South Indian Recipes,Vegetable Uttapam Recipe (Vegetable Uttapam),"['idli dosa mixture', ' onion', ' capsicum green', ' carrots', ' tomato', ' green chilies', ' coriander', ' oil']"
Continental,Herbed Tofu & Spinach In Tomato Basil Sauce Recipe,"['tofu', ' spinach', ' red bell pepper capsicum', ' onion', ' garlic', ' tomato puree', ' herbs dried', ' extra virgin olive oil', ' cayenne pepper', ' black pepper powder', ' water', ' corn flour', ' salt']"
North Indian Recipes,Matki Khichdi Recipe - Palak Pudina Moth Bean Khichdi Recipe,"['rice', ' moth dal', ' onion', ' spinach roughly', ' leaves', ' garam masala powder', ' cumin seeds', ' black pepper powder', ' asafoetida hing', ' ghee', ' salt', ' ghee', ' garlic']"
Continental, Pistachio Lemon Cookie Recipe,"['maida all purpose flour', ' baking powder', ' salt', ' butter', ' sugar', ' honey', ' hung curd', ' lemon juice', ' lemon juice', ' pistachios', ' grind', ' icing sugar']"
Continental,Mango & Lemon Bar Recipe,"['all purpose flour', ' salt', ' icing sugar', ' butter', ' sugar', ' all purpose flour', ' eggs', ' mango pulp puree', ' lemon juice', ' lemon zest', ' vanilla extract']"
South Indian Recipes,Tamil Nadu Style Grinded Rasam Recipe,"['tamarind water', ' tomato', ' turmeric powder haldi', ' cumin seeds', ' black peppercorns', ' green chilli slit', ' curry leaves', ' coriander', ' mustard seeds', ' ghee', ' salt', ' arhar', ' cumin seeds', ' red chilli']"
Continental,Muesli Chia Seed and Dry Fruit Jar Recipe,"['muesli', ' chia', ' curd dahi yogurt', ' cinnamon powder', ' bananas', ' honey', ' salt', ' prunes', ' cranberries', ' powder pomegranate seed']"
North Indian Recipes,Aloo Matar Korma Recipe In White Gravy,"['baby', ' green peas matar', ' bay leaf', ' cardamom', ' cloves', ' garam masala powder', ' curd dahi yogurt', ' cream', ' ghee', ' salt', ' onion', ' cashew nuts', ' green chillies', ' ginger']"
South Indian Recipes,Thengai Poli Recipe - Coconut Poli Recipe,"['wheat flour', ' salt', ' ghee', ' water', ' fresh', ' palm powdered', ' cardamom powder', ' ghee']"
Continental,Beet Quinoa Sliders Recipe,"['sweet', ' quinoa', ' cumin powder', ' tofu', ' beetroot', ' onion', ' walnuts toasted', ' wheat bread crumbs', ' coriander', ' red chilli powder', ' black pepper powder', ' parsley leaves', ' oregano', ' basil leaves', ' garlic', ' lemon juice', ' red chilli sauce', ' salt', ' burger buns whole wheat', ' classic mayonnaise egg', ' mustard sauce', ' pickled jalapenos pickles', ' lettuce', ' avocados', ' extra virgin olive oil']"
Italian Recipes,Conchiglie Pasta With Broccoli Recipe,"['conchiglie pasta', ' broccoli bite', ' extra virgin olive oil', ' butter', ' black pepper powder', ' white vinegar', ' oregano', ' salt', ' rosemary', ' thyme leaves']"
Continental,Chicken In Lemon Butter Sauce Recipe,"['chicken', ' lemon juice', ' salt and pepper', ' onion', ' garlic', ' honey', ' lemon juice', ' butter', ' oregano', ' cream', ' parmesan cheese', ' corn flour', ' salt and pepper']"
North Indian Recipes,Stuffed Ridge Gourd Recipe,"['gourd turai', ' mustard seeds', ' onion', ' tomato', ' roasted peanuts', ' green chilli', ' coriander', ' garlic', ' cumin seeds']"
Continental,Ajo Blanco Recipe (Chilled White Grape and Almond Gazpacho),"['badam almond blanched', ' ice', ' garlic', ' brown bread white bread', ' seedless grapes', ' cucumber', ' water or', ' olive oil', ' parsley leaves', ' white wine vinegar', ' salt', ' black pepper powder', ' badam almond', ' green seedless grapes']"
Continental,Almond Meal Muffins Recipe (Gluten Free and Grain Free),"['almond meal', ' chia seeds', ' cinnamon powder', ' baking powder', ' salt', ' blueberries', ' raspberries', ' milk almond milk', ' coconut oil', ' honey', ' vanilla extract', ' eggs', ' flaxmeal egg replacer instead']"
Indian,No Onion No Garlic Aloo Makhana Sabzi Recipe,"['baby potatoes', ' phool makhana', ' cumin seeds', ' fennel seeds', ' green chillies', ' red chilli powder', ' turmeric powder', ' coriander powder', ' salt', ' sunflower oil']"
South Indian Recipes,Healthy Maravalli Kizhangu Bonda Recipe - Spicy Tapioca Fritters,"['tapioca', ' flour', ' rice flour', ' onion', ' green chillies', ' ginger', ' coriander', ' asafoetida', ' salt', ' sunflower oil']"
Continental," Broccoli, Paneer & Peanut Sandwich Recipe","['breads', ' broccoli', ' cottage cheese', ' peanuts', ' garlic', ' red chilli sauce', ' pepper powder', ' salt', ' oil']"
North Indian Recipes,Nimki Aloo Anardana Curry Recipe - Potato And Nimki Curry,"['all purpose flour', ' seeds', ' semolina', ' ghee', ' salt', ' water', ' sunflower oil', ' aloo', ' onion', ' ginger garlic paste', ' tomato puree', ' sunflower oil', ' cumin seeds', ' turmeric powder', ' red chilli powder', ' coriander powder', ' powder pomegranate seed', ' fennel seeds saunf powdered', ' sugar', ' garam masala powder', ' salt', ' fenugreek', ' coriander dhania', ' pomegranate fruit kernels', ' lemon wedges', ' onion']"
Italian Recipes,Broccoli Cheddar Frittata Recipe,"['eggs', ' milk', ' onion', ' broccoli', ' salt', ' black peppercorns', ' cheddar cheese', ' parsley leaves']"
Continental,Grilled Chicken Salad Recipe,"['chicken', ' virgin olive oil', ' lettuce', ' gouda cheese', ' green bell pepper', ' cucumber', ' almond roasted salted', ' cherry tomatoes', ' salt', ' black pepper powder', ' lemon juice', ' garlic', ' parsley leaves', ' vinegar', ' extra virgin olive oil', ' parsley leaves', ' garlic', ' salt', ' red chilli flakes']"
Indian,Bhaji Vada Recipe (Lentil And Vegetable Fritters),"['green amaranth leaves', ' chana dal', ' ginger', ' green chillies', ' asafoetida hing', ' red chilli powder', ' turmeric powder', ' salt', ' sunflower oil']"
Italian Recipes,Chicken Parmigiana Recipe,"['chicken', ' wheat bread crumbs', ' all purpose flour', ' salt and pepper', ' egg', ' parmesan cheese', ' mozzarella cheese', ' tomato puree', ' onion', ' garlic', ' sugar', ' red chilli powder', ' red chilli flakes', ' rosemary', ' tabasco original hot sauce', ' salt', ' sunflower oil']"
Indian,Doodhi Sabudana Kheer Recipe,"['milk', ' bottle', ' sabudana tapioca pearls soaked', ' sugar', ' pistachios ground', ' khoya mawa', ' rice soaked', ' ghee', ' cardamom', ' almonds badam']"
Continental,Butternut Squash And Carrot Soup Recipe,"['squash and seeded', ' onion', ' carrots', ' celery', ' coriander', ' basil leaves', ' vegetable stock', ' lemon juice', ' extra virgin olive oil', ' butter', ' salt', ' black peppercorns', ' cream']"
South Indian Recipes,Cabbage Pachadi Recipe,"['sesame', ' white urad', ' roasted', ' cabbage patta', ' green chillies', ' curry leaves', ' salt', ' tamarind paste', ' water', ' mustard seeds', ' asafoetida', ' red chillies', ' sunflower oil']"
Indian,Red Kidney Beans Chocolate Barfi Recipe,"['kidney beans', ' sugar', ' ghee', ' beetroot', ' milk milk solids', ' cardamom powder', ' cocoa powder', ' vanilla extract']"
Indian,Chutney Chilli Cheese Toast Recipe,"['brown bread whole wheat', ' tomato', ' green bell pepper capsicum', ' butter', ' red chilli flakes', ' mozzarella cheese', ' mint leaves', ' coriander', ' ginger garlic paste', ' green chillies', ' coconut', ' cumin powder', ' salt', ' lemon juice']"
Indian,Railway Mutton Curry Recipe,"['mutton', ' ginger garlic paste', ' mustard oil', ' curd dahi', ' red chilli powder', ' turmeric powder', ' salt', ' fennel seeds', ' coriander dhania seeds', ' cumin seeds', ' black peppercorns', ' onion', ' potato aloo', ' tomato pureed', ' ginger garlic paste', ' turmeric powder', ' red chilli powder', ' green chilli', ' black cardamom', ' cardamom', ' cinnamon stick', ' cloves', ' bay leaf', ' mace', ' nutmeg', ' lukewarm water', ' mustard oil', ' salt', ' garam masala powder', ' ghee']"
Italian Recipes,Classic Caesar Salad Recipe - Classic Caesar Salad Recipe,"['lettuce', ' cucumber', ' tomatoes', ' bread', ' tbsp mayo', ' mustard sauce', ' salt', ' lemon juice', ' pepper', ' olive oil', ' garlic', ' sugar', ' parmesan cheese']"
North Indian Recipes,Tandoori Gobi Tikka Recipe,"['cauliflower', ' curd greek yogurt', ' red chilli powder', ' garam masala powder', ' chaat masala', ' turmeric powder', ' coriander powder', ' carom seeds', ' fenugreek leaves', ' flour', ' sunflower oil', ' salt']"
South Indian Recipes,Appe Payasa Recipe - Poori Payasam,"['semolina', ' salt', ' ghee', ' water', ' sunflower oil', ' milk', ' sugar', ' nutmeg powder', ' cardamom powder', ' saffron strands', ' nuts']"
North Indian Recipes, Masoor Dal Makhani (Recipe In Hindi),"[' onion', ' tomato', ' garlic', ' ginger', ' bay leaf', ' cumin seeds', ' lentil sugar', ' red chilli powder', ' garam masala powder', ' coriander powder', ' ghee', ' cream', ' salt']"
Indian,Lauki Bharta Recipe - Spiced & Mashed Bottled Gourd Recipe,"['gourd lauki', ' onion', ' tomatoes', ' ginger garlic paste', ' cumin seeds', ' red chilli powder', ' turmeric powder', ' garam masala powder', ' salt', ' sunflower oil', ' sugar', ' coriander dhania']"
Italian Recipes,Eggplant Rolls Recipe,"['brinjal baingan', ' cottage cheese', ' green bell pepper capsicum', ' carrot', ' onion', ' green chillies', ' garlic', ' basil leaves', ' parsley leaves', ' extra virgin olive oil', ' black pepper powder', ' salt', ' oregano', ' mozzarella cheese', ' tomato basil pasta']"
Continental,Spiced Bottle Gourd And Spinach Juice Recipe,"['gourd', ' spinach leaves', ' cucumber washed', ' ginger', ' cumin seeds', ' black salt kala namak', ' lemon juiced', ' water']"
North Indian Recipes,Carrot & Capsicum Sabzi Recipe - No Onion No Garlic,"['carrots', ' green bell pepper capsicum', ' kalonji onion nigella seeds', ' mustard seeds', ' asafoetida', ' coriander powder', ' garam masala powder', ' red chilli powder', ' dry mango powder', ' salt', ' sunflower oil']"
Indian,Raw Jackfruit Biryani Recipe - Kathal Biryani,"['jackfruit', ' curd', ' ginger garlic paste', ' red chilli powder', ' turmeric powder haldi', ' garam masala powder', ' lemon juice', ' salt', ' basmati rice', ' sunflower oil', ' onions', ' cinnamon stick', ' cardamom', ' cloves', ' black cardamom', ' star anise', ' bay leaves', ' coriander', ' mint leaves', ' green chillies', ' salt', ' ghee', ' cashew nuts toasted', ' cashew nuts toasted']"
North Indian Recipes,Kabuli Chana Kofta Biryani Recipe - Chickpea Kofta Biryani,"['kabuli', ' onion', ' green chilli', ' garlic', ' coriander', ' mint leaves', ' turmeric powder haldi', ' red chilli powder', ' fennel seeds', ' salt', ' onions', ' ginger', ' garlic', ' tomato puree', ' red chilli powder', ' coriander powder', ' garam masala powder', ' cream', ' salt', ' sunflower oil', ' basmati rice', ' bay leaf', ' cloves', ' cardamom', ' salt', ' milk warm', ' saffron pinch', ' coriander', ' mint leaves', ' ghee']"
Indian,Curry Fried Quinoa Rice Recipe,"['quinoa cooked', ' brown rice cooked', ' carrots', ' green peas', ' red bell pepper capsicum', ' curry leaves', ' onions', ' extra virgin olive oil', ' garlic', ' eggs', ' curry powder', ' soy sauce', ' brown sugar demerara sugar', ' salt', ' black pepper powder']"
Continental,Paleo Breakfast Casserole Recipe In A Mug,"['eggs', ' onions', ' chilli', ' cauliflower gobi', ' red bell pepper capsicum', ' yellow bell pepper capsicum', ' red chilli flakes', ' black pepper powder', ' salt']"
Indian,Palak Paneer Kathi Roll Recipe -High Protein Spinach Cottage Cheese Wraps Recipe,"['wheat flour', ' spinach leaves palak pureed', ' chilli', ' cumin powder', ' salt', ' sunflower oil', ' paneer cheese', ' green chillies', ' garlic', ' onion', ' coriander', ' tomato', ' red chilli powder', ' garam masala powder', ' turmeric powder', ' tomato pasta sauce', ' mustard sauce', ' salt']"
